23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set target.lineColor=[ 1.  1.  1.] (rgb)
23.5555 	EXP 	Set target.fillColor=[ 1.  1.  1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	TextStim: autoLog = None
23.5555 	EXP 	TextStim: units = None
23.5555 	EXP 	TextStim: useShaders = None
23.5555 	EXP 	TextStim: depth = None
23.5555 	EXP 	TextStim: ori = None
23.5555 	EXP 	TextStim: pos = None
23.5555 	EXP 	TextStim: colorSpace = None
23.5555 	EXP 	TextStim: opacity = None
23.5555 	EXP 	Set experimentEndText text=
23.5555 	EXP 	TextStim: contrast = None
23.5555 	EXP 	TextStim: autoDraw = None
211.4033 	DATA 	Mouse: Left button down, pos=(1279,800)
211.6609 	DATA 	Mouse: Left button up, pos=(1279,800)
220.4973 	DATA 	Keypress: return
224.4641 	DATA 	Mouse: Left button down, pos=(1276,795)
224.8146 	DATA 	Mouse: Left button up, pos=(1278,795)
226.2010 	DATA 	Mouse: Left button down, pos=(1278,795)
226.3468 	DATA 	Mouse: Left button up, pos=(1278,792)
226.4019 	DATA 	Mouse: Left button down, pos=(1278,792)
226.5440 	DATA 	Mouse: Left button up, pos=(1278,792)
234.0003 	DATA 	Keypress: space
234.0166 	EXP 	Imported ior-design.xlsx as conditions, 24 conditions, 3 params
234.0177 	EXP 	Created sequence: random, trialTypes=24, nReps=1, seed=0
234.0187 	EXP 	New trial (rep=0, index=0): {u'target_side': u'left', u'target_time': 350, u'cue_side': u'left'}
234.0531 	EXP 	TextStim: autoDraw = None
234.0531 	EXP 	TextStim: opacity = None
234.0531 	EXP 	Set debugText opacity=0.0
234.0531 	EXP 	Set debugText text=targetStart: 0.85
target_time: 350
target_side: left
cue_side: left
234.0531 	EXP 	Rect: pos = None
234.0531 	EXP 	Set cue pos=[-8.  0.]
234.0531 	EXP 	Rect: pos = None
234.0531 	EXP 	Set target pos=[-8.  0.]
234.0531 	EXP 	Rect: opacity = None
234.0531 	EXP 	Set target opacity=1.0
234.0531 	EXP 	TextStim: autoDraw = None
234.0531 	EXP 	Rect: autoDraw = None
234.0531 	EXP 	Rect: autoDraw = None
234.0531 	EXP 	Rect: autoDraw = None
234.5504 	EXP 	Rect: autoDraw = None
234.6753 	EXP 	Rect: autoDraw = None
234.8748 	EXP 	Rect: autoDraw = None
235.3734 	EXP 	Rect: autoDraw = None
236.0024 	EXP 	New trial (rep=0, index=1): {u'target_side': u'central', u'target_time': 200, u'cue_side': u'right'}
236.0398 	EXP 	TextStim: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.0398 	EXP 	TextStim: opacity = None
236.0398 	EXP 	Set debugText opacity=0.0
236.0398 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: central
cue_side: right
236.0398 	EXP 	Rect: pos = None
236.0398 	EXP 	Set cue pos=[ 8.  0.]
236.0398 	EXP 	Rect: pos = None
236.0398 	EXP 	Set target pos=[ 0.  0.]
236.0398 	EXP 	Rect: opacity = None
236.0398 	EXP 	Set target opacity=1.0
236.0398 	EXP 	TextStim: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.0398 	EXP 	Rect: autoDraw = None
236.5406 	EXP 	Rect: autoDraw = None
236.6580 	EXP 	Rect: autoDraw = None
236.7061 	EXP 	Rect: autoDraw = None
237.2083 	EXP 	Rect: autoDraw = None
238.0044 	EXP 	New trial (rep=0, index=2): {u'target_side': u'none', u'target_time': 200, u'cue_side': u'right'}
238.0299 	EXP 	TextStim: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.0299 	EXP 	TextStim: opacity = None
238.0299 	EXP 	Set debugText opacity=0.0
238.0299 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: none
cue_side: right
238.0299 	EXP 	Rect: pos = None
238.0299 	EXP 	Set cue pos=[ 8.  0.]
238.0299 	EXP 	Rect: pos = None
238.0299 	EXP 	Set target pos=[ 0.  0.]
238.0299 	EXP 	Rect: opacity = None
238.0299 	EXP 	Set target opacity=0.0
238.0299 	EXP 	TextStim: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.0299 	EXP 	Rect: autoDraw = None
238.5308 	EXP 	Rect: autoDraw = None
238.6587 	EXP 	Rect: autoDraw = None
238.7101 	EXP 	Rect: autoDraw = None
239.2096 	EXP 	Rect: autoDraw = None
240.0045 	EXP 	New trial (rep=0, index=3): {u'target_side': u'right', u'target_time': 200, u'cue_side': u'left'}
240.0308 	EXP 	TextStim: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.0308 	EXP 	TextStim: opacity = None
240.0308 	EXP 	Set debugText opacity=0.0
240.0308 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: right
cue_side: left
240.0308 	EXP 	Rect: pos = None
240.0308 	EXP 	Set cue pos=[-8.  0.]
240.0308 	EXP 	Rect: pos = None
240.0308 	EXP 	Set target pos=[ 8.  0.]
240.0308 	EXP 	Rect: opacity = None
240.0308 	EXP 	Set target opacity=1.0
240.0308 	EXP 	TextStim: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.0308 	EXP 	Rect: autoDraw = None
240.3277 	DATA 	Keypress: space
240.5321 	EXP 	Rect: autoDraw = None
240.6602 	EXP 	Rect: autoDraw = None
240.7088 	EXP 	Rect: autoDraw = None
241.2095 	EXP 	Rect: autoDraw = None
242.0045 	EXP 	New trial (rep=0, index=4): {u'target_side': u'left', u'target_time': 50, u'cue_side': u'right'}
242.0284 	EXP 	TextStim: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.0284 	EXP 	TextStim: opacity = None
242.0284 	EXP 	Set debugText opacity=0.0
242.0284 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: left
cue_side: right
242.0284 	EXP 	Rect: pos = None
242.0284 	EXP 	Set cue pos=[ 8.  0.]
242.0284 	EXP 	Rect: pos = None
242.0284 	EXP 	Set target pos=[-8.  0.]
242.0284 	EXP 	Rect: opacity = None
242.0284 	EXP 	Set target opacity=1.0
242.0284 	EXP 	TextStim: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.0284 	EXP 	Rect: autoDraw = None
242.5299 	EXP 	Rect: autoDraw = None
242.5609 	EXP 	Rect: autoDraw = None
242.6615 	EXP 	Rect: autoDraw = None
243.0597 	EXP 	Rect: autoDraw = None
244.0021 	EXP 	New trial (rep=0, index=5): {u'target_side': u'central', u'target_time': 50, u'cue_side': u'right'}
244.0404 	EXP 	TextStim: autoDraw = None
