target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.971347141266,1.0850298404693604, 0.9667632579803467, 0.9575909972190857, 0.9129983186721802, 0.9191146492958069, 0.8233605623245239, 1.049185872077942, 0.8793171048164368, 1.18524968624115, 0.9348613619804382,0.106864790951,13.0, 37.0, 50.0, 77.0, 97.0, 137.0, 160.0, 172.0, 204.0, 216.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.2075843811,1.154192328453064, 1.2493703365325928, 1.199440836906433, 1.2659438848495483, 1.0586464405059814, 1.2109442949295044, 1.2809427976608276, 1.2283053398132324, 1.212530493736267, 1.215526819229126,0.0633868960174,16.0, 33.0, 59.0, 86.0, 119.0, 141.0, 159.0, 186.0, 210.0, 226.0
central,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.15775947571,1.199180245399475, 1.1953791379928589, 0.8944361805915833, 1.170530915260315, 1.2062017917633057, 1.1362662315368652, 1.2440252304077148, 1.218250036239624, 1.1833831071853638, 1.129941701889038,0.0988675272377,11.0, 28.0, 53.0, 88.0, 103.0, 123.0, 166.0, 175.0, 212.0, 219.0
none,350,left,10.0,, , , 'space', , , , , , ,0.880338191986,, , , 0.880338191986084, , , , , , ,0.0,0.0, 25.0, 70.0, 92.0, 107.0, 142.0, 147.0, 191.0, 208.0, 230.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.06998701096,1.0945160388946533, 1.2271909713745117, 0.8734598159790039, 0.9418087601661682, 0.849678635597229, 1.1903138160705566, 1.2327877283096313, 1.2543859481811523, 0.8678222894668579, 1.1679058074951172,0.168109550247,7.0, 40.0, 49.0, 79.0, 114.0, 139.0, 164.0, 173.0, 205.0, 223.0
right,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16278038025,1.1622750759124756, 1.2623440027236938, 0.8631055951118469, 1.2596927881240845, 1.163080096244812, 1.237146019935608, 1.2026798725128174, 1.1768876314163208, 1.1859463453292847, 1.1146467924118042,0.115125529715,2.0, 24.0, 66.0, 75.0, 102.0, 134.0, 156.0, 169.0, 214.0, 224.0
central,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.15035943985,1.1229734420776367, 1.1212546825408936, 1.2115187644958496, 1.0674772262573242, 0.8975850343704224, 1.2650033235549927, 1.1757166385650635, 1.2052301168441772, 1.2919979095458984, 1.1448372602462769,0.112047040476,23.0, 41.0, 69.0, 83.0, 118.0, 128.0, 153.0, 188.0, 215.0, 231.0
none,350,right,10.0,, , , 'space', 'space', , , , , ,0.861606001854,, , , 0.8677558898925781, 0.8554561138153076, , , , , ,0.0064825511857,8.0, 30.0, 68.0, 94.0, 106.0, 126.0, 163.0, 171.0, 201.0, 236.0

extraInfo
date,2014_II_03_1621
frameRate,306.103609575
expName,ior
session,001
participant,2014-02-03MS0
