target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.962625598907,0.8559445142745972, 0.983889102935791, 1.020961046218872, 0.9571139216423035, 0.9552878737449646, 1.0251518487930298, 1.0134562253952026, 0.9752017259597778, 0.9147613644599915, 0.9244885444641113,0.0534551722664,2.0, 35.0, 71.0, 83.0, 116.0, 135.0, 163.0, 173.0, 200.0, 235.0
left,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16478872299,1.1333324909210205, 0.8813950419425964, 1.2199819087982178, 1.2286614179611206, 1.171889066696167, 1.1988013982772827, 1.122331142425537, 1.306999683380127, 1.2222900390625, 1.1622051000595093,0.113026269679,7.0, 31.0, 64.0, 87.0, 108.0, 131.0, 167.0, 183.0, 205.0, 229.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.21295089722,1.1803276538848877, 1.2256015539169312, 1.2829171419143677, 1.2055879831314087, 1.285849690437317, 1.2366894483566284, 1.163744330406189, 1.1655936241149902, 1.2623662948608398, 1.12083101272583,0.0554211231897,9.0, 37.0, 70.0, 77.0, 114.0, 128.0, 160.0, 189.0, 192.0, 231.0
central,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.15123319626,1.020092487335205, 1.1749382019042969, 1.1483834981918335, 1.1841298341751099, 1.2234523296356201, 1.1513887643814087, 1.1488693952560425, 1.1219892501831055, 1.139473795890808, 1.1996145248413086,0.0551821048003,20.0, 44.0, 60.0, 89.0, 113.0, 134.0, 157.0, 191.0, 194.0, 239.0
none,350,left,10.0,, , 'space', , , , , , , ,1.24409842491,, , 1.244098424911499, , , , , , , ,0.0,1.0, 25.0, 66.0, 78.0, 104.0, 139.0, 159.0, 174.0, 203.0, 224.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.23158893585,1.1802033185958862, 1.2429707050323486, 1.296251893043518, 1.2545803785324097, 1.1914085149765015, 1.4088999032974243, 1.2248467206954956, 1.2048574686050415, 1.2079466581344604, 1.1039234399795532,0.0803817565927,17.0, 45.0, 53.0, 92.0, 118.0, 142.0, 164.0, 184.0, 201.0, 223.0
right,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.2256313324,1.2354447841644287, 1.1261953115463257, 1.278218150138855, 1.2107794284820557, 1.2654156684875488, 1.234157681465149, 1.2787350416183472, 1.2612502574920654, 1.1912647485733032, 1.1748523712158203,0.0499705994619,18.0, 24.0, 68.0, 82.0, 101.0, 138.0, 153.0, 177.0, 204.0, 218.0
central,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16590147018,1.1608489751815796, 1.1781724691390991, 1.1465295553207397, 1.2873938083648682, 1.1412396430969238, 1.19118332862854, 1.1668484210968018, 1.1076730489730835, 1.139359474182129, 1.1397656202316284,0.0486919437577,5.0, 46.0, 57.0, 93.0, 105.0, 120.0, 155.0, 168.0, 199.0, 216.0
none,350,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,3.0, 40.0, 54.0, 86.0, 117.0, 126.0, 150.0, 188.0, 206.0, 237.0

extraInfo
date,2013_XII_31_1744
frameRate,303.45863897
expName,ior
session,001
participant,Terezka
