target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.917945098877,0.9034985303878784, 0.9520740509033203, 0.9620116949081421, 0.9705391526222229, 0.939459502696991, 0.9072389602661133, 0.916968584060669, 0.9461451172828674, 0.8273194432258606, 0.8541963696479797,0.0468236450455,2.0, 35.0, 71.0, 83.0, 116.0, 135.0, 163.0, 173.0, 200.0, 235.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.972852897644,0.9278655648231506, 0.9365997910499573, 0.9514746069908142, 0.9117538928985596, 1.0145952701568604, 0.960509717464447, 1.085044503211975, 1.0110903978347778, 0.9829877018928528, 0.9466078877449036,0.0519226185852,16.0, 36.0, 65.0, 73.0, 106.0, 132.0, 148.0, 190.0, 202.0, 219.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.89350976944,0.8604722619056702, 0.9409468173980713, 0.8972480893135071, 0.9144637584686279, 0.9015206098556519, 0.8399101495742798, 0.9567247629165649, 0.8767359852790833, 0.8999066352844238, 0.8471689224243164,0.0382938596162,4.0, 41.0, 69.0, 90.0, 119.0, 122.0, 156.0, 187.0, 207.0, 228.0
none,50,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,23.0, 38.0, 48.0, 72.0, 112.0, 141.0, 146.0, 182.0, 212.0, 220.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.953194046021,0.9923418164253235, 0.9311495423316956, 0.905109167098999, 0.9796427488327026, 0.9799227714538574, 0.9105870127677917, 0.9646930694580078, 0.9710748195648193, 0.9656814336776733, 0.9317381978034973,0.0309627364811,11.0, 47.0, 56.0, 85.0, 102.0, 133.0, 149.0, 175.0, 208.0, 232.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.947270393372,0.9385225772857666, 0.9719110131263733, 1.0163341760635376, 0.9019837975502014, 0.8698556423187256, 1.0493896007537842, 0.9284932017326355, 0.9035609364509583, 0.8296067714691162, 1.0630457401275635,0.0770551756512,8.0, 26.0, 52.0, 76.0, 110.0, 143.0, 144.0, 176.0, 213.0, 226.0
central,50,right,10.0,'space', , 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.884730656942,0.8999530673027039, , 0.8707859516143799, 0.9054787755012512, 0.8570590019226074, 0.9016035795211792, 0.857745349407196, 0.891828179359436, 0.8994285464286804, 0.8786935210227966,0.0190455387608,6.0, 32.0, 58.0, 88.0, 96.0, 124.0, 165.0, 170.0, 198.0, 230.0
none,50,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,21.0, 30.0, 51.0, 95.0, 100.0, 140.0, 151.0, 180.0, 211.0, 222.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04824953079,1.106656789779663, 0.9983918070793152, 0.9822394847869873, 1.0345888137817383, 1.0430163145065308, 1.0092308521270752, 1.2538599967956543, 1.0261242389678955, 1.0135226249694824, 1.0148640871047974,0.0796357846862,10.0, 42.0, 59.0, 75.0, 115.0, 125.0, 154.0, 178.0, 193.0, 221.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.0558172226,1.0626165866851807, 1.0195121765136719, 1.0860240459442139, 1.0365025997161865, 1.0246633291244507, 1.084923505783081, 1.0603712797164917, 1.077423095703125, 1.0302848815917969, 1.0758503675460815,0.0258377757018,12.0, 34.0, 61.0, 81.0, 98.0, 130.0, 166.0, 186.0, 215.0, 227.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.994296169281,1.0615479946136475, 0.9689816832542419, 0.9667514562606812, 0.9538227915763855, 1.0626084804534912, 1.0281355381011963, 1.0318540334701538, 0.9610939621925354, 0.9406142234802246, 0.9675513505935669,0.0465261310341,0.0, 39.0, 49.0, 84.0, 111.0, 123.0, 162.0, 179.0, 209.0, 225.0
