target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.942404460907,0.9285985827445984, 1.0178806781768799, 1.0953738689422607, 0.9050889015197754, 0.9041035175323486, 0.8954557180404663, 0.930008053779602, 0.872212827205658, 0.9089446663856506, 0.9663773775100708,0.0675979076464,13.0, 37.0, 50.0, 77.0, 97.0, 137.0, 160.0, 172.0, 204.0, 216.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.1971871376,1.227644681930542, 1.29466712474823, 1.2491117715835571, 1.2189375162124634, 1.1671526432037354, 0.8396398425102234, 1.2443804740905762, 1.2938673496246338, 1.2266805171966553, 1.2097898721694946,0.131209907455,16.0, 33.0, 59.0, 86.0, 119.0, 141.0, 159.0, 186.0, 210.0, 226.0
central,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16819982529,1.1776853799819946, 1.167412519454956, 1.1697171926498413, 1.159263014793396, 1.1924142837524414, 1.1677792072296143, 1.1678266525268555, 1.1503490209579468, 1.191038727760315, 1.1385120153427124,0.016603391557,11.0, 28.0, 53.0, 88.0, 103.0, 123.0, 166.0, 175.0, 212.0, 219.0
none,350,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,0.0, 25.0, 70.0, 92.0, 107.0, 142.0, 147.0, 191.0, 208.0, 230.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.18488264084,0.8085514903068542, 1.2153558731079102, 1.3546806573867798, 1.2550652027130127, 1.2053965330123901, 1.1823887825012207, 1.2602813243865967, 1.1887725591659546, 1.1874967813491821, 1.1908371448516846,0.142392311378,7.0, 40.0, 49.0, 79.0, 114.0, 139.0, 164.0, 173.0, 205.0, 223.0
right,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.23463001251,1.1758143901824951, 1.25223970413208, 1.2579325437545776, 1.2503262758255005, 1.2465301752090454, 1.2183411121368408, 1.2282212972640991, 1.2130571603775024, 1.2606351375579834, 1.2432022094726562,0.0262930285028,2.0, 24.0, 66.0, 75.0, 102.0, 134.0, 156.0, 169.0, 214.0, 224.0
central,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.19904327393,1.142295479774475, 1.3639156818389893, 1.2131913900375366, 1.1939115524291992, 1.1375664472579956, 1.2197928428649902, 1.188666582107544, 1.1686879396438599, 1.1780718564987183, 1.1843334436416626,0.063705026074,23.0, 41.0, 69.0, 83.0, 118.0, 128.0, 153.0, 188.0, 215.0, 231.0
none,350,right,10.0,, 'space', , , , , , , , ,0.842302501202,, 0.8423025012016296, , , , , , , , ,0.0,8.0, 30.0, 68.0, 94.0, 106.0, 126.0, 163.0, 171.0, 201.0, 236.0

extraInfo
date,2014_II_04_1523
frameRate,307.422007515
expName,ior
session,001
participant,Peto
