target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.07177839279,1.1786012649536133, 1.2277721166610718, 0.8886058926582336, 0.8266027569770813, 0.8250963687896729, 1.428969144821167, 0.8763543963432312, 1.2678974866867065, 1.1599918603897095, 1.037892460823059,0.211720147846,7.0, 31.0, 64.0, 87.0, 108.0, 131.0, 167.0, 183.0, 205.0, 229.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.27713985443,1.1789661645889282, 1.1927378177642822, 1.2203482389450073, 1.2272475957870483, 1.2240179777145386, 1.538077473640442, 1.224446177482605, 0.8369135856628418, 1.7487964630126953, 1.3798466920852661,0.24105580713,9.0, 37.0, 70.0, 77.0, 114.0, 128.0, 160.0, 189.0, 192.0, 231.0
central,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.12419157028,1.250754475593567, 1.1919411420822144, 1.1521260738372803, 0.8060874938964844, 1.3839296102523804, 0.8505852222442627, 1.4152778387069702, 0.790546715259552, 1.0973268747329712, 1.3033405542373657,0.234229035999,20.0, 44.0, 60.0, 89.0, 113.0, 134.0, 157.0, 191.0, 194.0, 239.0
none,350,left,10.0,, , , , , , 'space', , , ,0.880950570107,, , , , , , 0.8809505701065063, , , ,0.0,1.0, 25.0, 66.0, 78.0, 104.0, 139.0, 159.0, 174.0, 203.0, 224.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.3485707283,1.3065600395202637, 1.2779054641723633, 1.2860056161880493, 1.2972462177276611, 1.2494041919708252, 1.2085418701171875, 1.9222155809402466, 1.1966609954833984, 1.0530434846878052, 1.6881234645843506,0.257666139615,17.0, 45.0, 53.0, 92.0, 118.0, 142.0, 164.0, 184.0, 201.0, 223.0
right,350,right,10.0,'space', 'space', 'space', 'space', , 'space', 'space', 'space', 'space', 'space',1.12696329753,1.2207794189453125, 1.3034321069717407, 0.7809104323387146, 1.140365719795227, , 1.1602449417114258, 1.2968080043792725, 0.7812732458114624, 1.281772494316101, 1.177083134651184,0.203612226887,18.0, 24.0, 68.0, 82.0, 101.0, 138.0, 153.0, 177.0, 204.0, 218.0
central,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16554336548,1.296964168548584, 1.30098557472229, 0.8768526315689087, 1.2027064561843872, 1.3289167881011963, 1.2392011880874634, 1.2883880138397217, 1.10635507106781, 1.112103819847107, 0.902959942817688,0.16426797397,5.0, 46.0, 57.0, 93.0, 105.0, 120.0, 155.0, 168.0, 199.0, 216.0
none,350,right,10.0,, , , 'space', 'space', , , 'space', 'space', ,0.872763514519,, , , 0.8266782760620117, 0.8192459344863892, , , 0.7992107272148132, 1.0459190607070923, ,0.105909862451,3.0, 40.0, 54.0, 86.0, 117.0, 126.0, 150.0, 188.0, 206.0, 237.0

extraInfo
date,2014_II_03_1726
frameRate,303.819230038
expName,ior
session,001
participant,Ivan
