target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', , 'space', 'space', 'space', 'space',0.989983876546,0.8493861556053162, 0.8813976645469666, 1.7078810930252075, 0.9237709641456604, 0.8145723938941956, , 0.9815033674240112, 0.8476522564888, 0.9118199944496155, 0.9918713569641113,0.274093748079,13.0, 37.0, 50.0, 77.0, 97.0, 137.0, 160.0, 172.0, 204.0, 216.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.888474655151,0.8883437514305115, 1.0446664094924927, 0.9142960906028748, 0.8712568879127502, 0.82090163230896, 0.83704674243927, 0.8016828894615173, 1.0273417234420776, 0.7721414566040039, 0.9070685505867004,0.0902256690492,14.0, 39.0, 51.0, 82.0, 116.0, 140.0, 146.0, 182.0, 192.0, 222.0
central,50,left,10.0,, 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.878963523441,, 0.8787196278572083, 0.8266876339912415, 0.8043581247329712, 1.0331519842147827, 0.9800588488578796, 0.8614980578422546, 0.8016475439071655, 0.8402693867683411, 0.8842805027961731,0.078647086027,4.0, 35.0, 63.0, 90.0, 105.0, 136.0, 145.0, 180.0, 206.0, 218.0
none,50,left,10.0,, 'space', , 'space', , , 'space', , , 'space',0.881092250347,, 0.924293577671051, , 0.8454517126083374, , , 0.9044050574302673, , , 0.8502185940742493,0.0358750618993,10.0, 29.0, 54.0, 78.0, 101.0, 124.0, 158.0, 179.0, 211.0, 228.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.897111701965,0.9550750255584717, 0.8368829488754272, 0.8570908904075623, 0.850799560546875, 0.9232162237167358, 0.9097573161125183, 0.8265556693077087, 1.0655646324157715, 0.9972259998321533, 0.7489491701126099,0.0924389522264,1.0, 43.0, 60.0, 81.0, 115.0, 135.0, 148.0, 181.0, 196.0, 217.0
right,50,right,10.0,'space', 'space', , 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.897414101495,0.8168774247169495, 0.8936836123466492, , 0.8913235664367676, 0.8980867266654968, 0.8272305130958557, 1.002690315246582, 0.8963424563407898, 0.9613950848579407, 0.8890970945358276,0.0574244801116,9.0, 31.0, 62.0, 76.0, 104.0, 131.0, 154.0, 174.0, 199.0, 235.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.91835899353,1.0665603876113892, 0.9659845232963562, 1.0453699827194214, 0.9308322072029114, 1.0623139142990112, 0.824227511882782, 0.7967584133148193, 0.7896280288696289, 0.8464179039001465, 0.8554971218109131,0.110849482253,22.0, 38.0, 71.0, 85.0, 111.0, 122.0, 152.0, 183.0, 198.0, 225.0
none,50,right,10.0,'space', 'space', , 'space', 'space', , 'space', , 'space', ,0.931942780813,0.8661460280418396, 0.850457489490509, , 0.809904932975769, 1.3535431623458862, , 0.8609639406204224, , 0.8506410121917725, ,0.199655794884,18.0, 32.0, 67.0, 73.0, 100.0, 133.0, 155.0, 178.0, 207.0, 237.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.962850379944,1.0525431632995605, 0.8290054798126221, 1.0888497829437256, 0.865523636341095, 1.0586259365081787, 0.9393011331558228, 0.7935761213302612, 0.8118242621421814, 1.057761549949646, 1.131493091583252,0.129076324872,6.0, 27.0, 56.0, 93.0, 117.0, 127.0, 150.0, 177.0, 195.0, 239.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.0288269043,1.0567020177841187, 0.8875781893730164, 0.9018421173095703, 0.839110255241394, 1.2013053894042969, 1.0552453994750977, 1.0927854776382446, 1.1191370487213135, 1.0623592138290405, 1.0722039937973022,0.114767948561,21.0, 44.0, 52.0, 74.0, 109.0, 138.0, 144.0, 185.0, 193.0, 232.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.929737854004,1.0288127660751343, 0.9053795337677002, 0.9616338014602661, 0.8300538063049316, 0.8607732057571411, 0.882448673248291, 0.9537819027900696, 0.9481378197669983, 1.0641530752182007, 0.8622041940689087,0.0759391116189,3.0, 47.0, 48.0, 87.0, 110.0, 121.0, 149.0, 187.0, 200.0, 221.0
none,200,left,10.0,, , , , 'space', , , , , ,0.833374679089,, , , , 0.8333746790885925, , , , , ,0.0,20.0, 46.0, 58.0, 80.0, 99.0, 143.0, 161.0, 168.0, 197.0, 234.0
left,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04226608276,1.200925350189209, 0.9471511244773865, 1.0476505756378174, 0.9914092421531677, 0.8158692121505737, 1.0292729139328003, 1.0288541316986084, 1.255802035331726, 1.2251238822937012, 0.880602240562439,0.146670095068,19.0, 45.0, 55.0, 89.0, 112.0, 129.0, 165.0, 170.0, 209.0, 238.0
right,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.965384197235,1.010425090789795, 0.9151862263679504, 0.7707024812698364, 0.9286249876022339, 1.103690505027771, 1.009543776512146, 0.8566192984580994, 1.0115752220153809, 0.9919307231903076, 1.0555434226989746,0.0987005851414,15.0, 42.0, 61.0, 95.0, 108.0, 130.0, 167.0, 176.0, 194.0, 227.0
