target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.938190460205,0.9158974885940552, 0.8762619495391846, 1.0691074132919312, 0.9648380875587463, 0.9140076041221619, 0.8766161799430847, 0.8922253847122192, 0.9373897910118103, 0.9796229004859924, 0.9559377431869507,0.0584072927152,2.0, 35.0, 71.0, 83.0, 116.0, 135.0, 163.0, 173.0, 200.0, 235.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.20401191711,1.2143596410751343, 1.1566555500030518, 1.2008382081985474, 1.2296628952026367, 1.265659213066101, 1.1923452615737915, 1.17913818359375, 1.2561684846878052, 1.1775439977645874, 1.1677478551864624,0.0369818109263,9.0, 37.0, 70.0, 77.0, 114.0, 128.0, 160.0, 189.0, 192.0, 231.0
central,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.13086071014,1.0961542129516602, 1.1373071670532227, 1.133620023727417, 1.0904839038848877, 1.1507878303527832, 1.1058377027511597, 1.1434454917907715, 1.1750847101211548, 1.1219090223312378, 1.1539769172668457,0.0271536159194,20.0, 44.0, 60.0, 89.0, 113.0, 134.0, 157.0, 191.0, 194.0, 239.0
none,350,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,1.0, 25.0, 66.0, 78.0, 104.0, 139.0, 159.0, 174.0, 203.0, 224.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.19393444061,1.146558165550232, 1.1615067720413208, 1.1782935857772827, 1.1467430591583252, 1.243463158607483, 1.1888012886047363, 1.2088782787322998, 1.1301320791244507, 1.28621506690979, 1.2487528324127197,0.0517064371724,17.0, 45.0, 53.0, 92.0, 118.0, 142.0, 164.0, 184.0, 201.0, 223.0
right,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.19051780701,1.2056649923324585, 1.1916598081588745, 1.1755685806274414, 1.1987358331680298, 1.1862208843231201, 1.1393829584121704, 1.2613534927368164, 1.1708152294158936, 1.1845709085464478, 1.191205382347107,0.0309061613712,18.0, 24.0, 68.0, 82.0, 101.0, 138.0, 153.0, 177.0, 204.0, 218.0
central,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.10909137726,1.1682418584823608, 1.1133759021759033, 1.145161747932434, 1.1498326063156128, 1.1084309816360474, 1.140068531036377, 1.0455628633499146, 1.140059471130371, 0.9406137466430664, 1.13956618309021,0.068106450072,5.0, 46.0, 57.0, 93.0, 105.0, 120.0, 155.0, 168.0, 199.0, 216.0
none,350,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,3.0, 40.0, 54.0, 86.0, 117.0, 126.0, 150.0, 188.0, 206.0, 237.0

extraInfo
date,2013_XII_31_1536
frameRate,297.840589274
expName,ior
session,001
participant,Filip
