target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
right,350,left,10.0,'space', 'space', , 'space', , 'space', 'space', 'space', 'space', 'space',1.20066964626,1.2077691555023193, 1.1839960813522339, , 1.3414698839187622, , 1.210493803024292, 1.2494264841079712, 1.2745925188064575, 1.2016514539718628, 0.9359573721885681,0.116764842081,16.0, 33.0, 59.0, 86.0, 119.0, 141.0, 159.0, 186.0, 210.0, 226.0
central,350,left,10.0,'space', 'space', , , 'space', 'space', 'space', 'space', 'space', ,1.19970689501,1.1726487874984741, 1.2306016683578491, , , 1.176338791847229, 1.1193796396255493, 1.3238376379013062, 1.1908671855926514, 1.1842743158340454, ,0.0622461966693,11.0, 28.0, 53.0, 88.0, 103.0, 123.0, 166.0, 175.0, 212.0, 219.0
none,350,left,10.0,, , , , , , , 'space', , ,1.09770286083,, , , , , , , 1.0977028608322144, , ,0.0,0.0, 25.0, 70.0, 92.0, 107.0, 142.0, 147.0, 191.0, 208.0, 230.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.18373060226,1.1572682857513428, 1.211927056312561, 0.8302887082099915, 1.3277984857559204, 1.2110964059829712, 1.1899051666259766, 1.3168916702270508, 1.221266269683838, 0.9949691891670227, 1.3758946657180786,0.16318283165,7.0, 40.0, 49.0, 79.0, 114.0, 139.0, 164.0, 173.0, 205.0, 223.0
right,350,right,10.0,'space', 'space', , 'space', 'space', 'space', 'space', 'space', , 'space',1.19432425499,1.2316406965255737, 1.1848310232162476, , 1.1943055391311646, 1.2284305095672607, 1.1264197826385498, 1.1892690658569336, 1.218384027481079, , 1.1813138723373413,0.0333970021558,2.0, 24.0, 66.0, 75.0, 102.0, 134.0, 156.0, 169.0, 214.0, 224.0
central,350,right,10.0,'space', , , 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.21284556389,1.194789171218872, , , 1.2293766736984253, 1.325190544128418, 1.1873420476913452, 0.9834237098693848, 1.2043232917785645, 1.2529035806655884, 1.3254159688949585,0.105970968146,23.0, 41.0, 69.0, 83.0, 118.0, 128.0, 153.0, 188.0, 215.0, 231.0
none,350,right,10.0,, , , , , , 'space', , , ,0.900230288506,, , , , , , 0.9002302885055542, , , ,0.0,8.0, 30.0, 68.0, 94.0, 106.0, 126.0, 163.0, 171.0, 201.0, 236.0

extraInfo
date,2014_II_04_1712
frameRate,311.862745525
expName,ior
session,001
participant,Liduska
